organization_name,organization_headquarters,organization_site,organization_description,link,partner_type
Allianz,Germany,http://www.allianz.com/,The Allianz Group is a leading insurer and asset manager  with 126 million private and corporate customers in more than 70 countries. Its personal and corporate insurance services include property  life and health insurance  assistance services  credit insurance and global business insurance. Allianz is one of the world’s largest investors  managing €716 billion on behalf of insurance customers. Asset managers PIMCO and Allianz Global Investors manage nearly €1.8 trillion of third-party assets. It is a leader in the insurance industry in the Dow Jones Sustainability Index. In 2021  155 000 employees achieved revenues of €148.5 billion and an operating profit of €13.4 billion.,https://www.weforum.org/organizations/allianz-se,strategic partnership
Amazon,USA,https://www.aboutamazon.com/about-us,Amazon is guided by four principles: customer obsession rather than competitor focus  passion for invention  commitment to operational excellence  and long-term thinking. Amazon strives to be Earth’s most customer-centric company  Earth’s best employer  and Earth’s safest place to work. Customer reviews  1-Click shopping  personalized recommendations  Prime  Fulfillment by Amazon  AWS  Kindle Direct Publishing  Kindle  Career Choice  Fire tablets  Fire TV  Amazon Echo  Alexa  Just Walk Out technology  Amazon Studios  and The Climate Pledge are some of the things pioneered by Amazon.,https://www.weforum.org/organizations/amazon-com,strategic partnership
Aramco,Saudi Arabia,http://www.saudiaramco.com/,Saudi Aramco is a world-leading integrated energy and chemicals company. From producing approximately one of every eight barrels of the world’s crude oil supply to developing new technologies  Saudi Aramco is driven to create a positive impact through the core belief that energy is opportunity. The company is focused on making resources more sustainable and more useful  enabling long-term economic growth and prosperity around the world.,https://www.weforum.org/organizations/saudi-aramco,strategic partnership
ArcelorMittal,United Kingdom,https://corporate.arcelormittal.com/,ArcelorMittal is a leading steel and mining company. It is present in 60 countries and has an industrial footprint in 16 countries. The company is a leading supplier of quality steel in the major global steel markets  including automotive  construction  household appliances and packaging.,https://www.weforum.org/organizations/arcelormittal,strategic partnership
AstraZeneca,United Kingdom,http://www.astrazeneca.com/,AstraZeneca is a global  science-led biopharmaceutical company. It is focused on the discovery  development and commercialization of innovative medicines and improving access to them. Its therapy areas cover oncology  rare disease and biopharmaceuticals  including cardiovascular  renal and metabolism  and respiratory and immunology. It has 11 R&D centres in five countries and 28 manufacturing sites across 16 countries. AstraZeneca sells its medicines to more than 130 countries and its main disease area medicines (excluding the vaccine) impact more than 100 million patient lives each year. In 2021  total revenue was $37.4 billion and $9.7 billion was invested in science and R&D.,https://www.weforum.org/organizations/astrazeneca,strategic partnership
Bahrain Economic Development Board,Bahrain,http://www.bahrainedb.com/,The Bahrain Economic Development Board (EDB) is an investment promotion agency with overall responsibility for attracting investment into the Kingdom and supporting initiatives that enhance the investment climate. The EDB works with the government and both current and prospective investors to ensure that Bahrain’s investment climate is attractive  communicate the key strengths and identify where opportunities exist for further economic growth through investment. The EDB focuses on economic sectors that capitalize on Bahrain’s competitive advantages and provide significant investment opportunities. These sectors include financial services  manufacturing  information and communications technology (ICT)  tourism  logistics and transport.,https://www.weforum.org/organizations/bahrain-economic-development-board,strategic partnership
Bain & Company,USA,http://www.bain.com/,Bain & Company is a global consultancy that helps change-makers define the future. Across 64 cities in 39 countries  the firm works alongside clients as one team to achieve results  outperform the competition  and redefine industries. Its 10-year commitment to invest more than $1 billion in pro bono services brings its talent  expertise and insights to organizations tackling challenges in education  racial equity  social justice  economic development and the environment. Since its founding in 1973  Bain & Company has measured its success by the success of its clients and aims to maintain the highest level of client advocacy in the industry.,https://www.weforum.org/organizations/bain-company-inc,strategic partnership
Banco Bradesco,Brazil,http://www.banco.bradesco/,Banco Bradesco is a large (non-government-controlled) private sector bank in Brazil in terms of total assets. It offers a range of banking and financial products and services worldwide to individuals  small to medium-sized companies and major local and international corporations and institutions. It has one of the most extensive private sector branch and service networks in Brazil. Its services and products encompass banking operations including lending and deposit-taking  credit card issuance  consortiums  insurance  leasing  payment collection and processing  pension plans  asset management and brokerage services.,https://www.weforum.org/organizations/banco-bradesco-sa,strategic partnership
Bank of America,USA,http://www.bankofamerica.com/,Bank of America is a leading financial institution serving individual consumers  small and middle-market businesses and large corporations with banking  investing  asset management and other financial and risk management products and services. The company serves 66 million consumer and small business clients in the United States. Bank of America is a global leader in wealth management  corporate and investment banking and trading throughout asset classes  serving corporations  governments  institutions and individuals worldwide. The company serves clients through operations in the US  its territories and approximately 35 countries.,https://www.weforum.org/organizations/bank-of-america-corporation,strategic partnership
Barclays,United Kingdom,http://www.home.barclays/,Barclays is a transatlantic consumer  corporate and investment bank offering products and services in personal  corporate and investment banking  credit cards and wealth management  with a strong presence in its two home markets of the United Kingdom and the US. With more than 325 years of history and expertise in banking  Barclays operates in over 40 countries and employs approximately 130 000 people. Barclays moves  lends  invests and protects money for customers and clients worldwide.,https://www.weforum.org/organizations/barclays,strategic partnership
Bill & Melinda Gates Foundation,USA,http://www.gatesfoundation.org/,The Bill & Melinda Gates Foundation  guided by the belief that every life has equal value  is working to help people lead healthy  productive lives. Based in Seattle  it is led by Chief Executive Officer Mark Suzman  under the direction of Bill and Melinda Gates and Warren Buffett. The foundation supports work in over 100 countries.,https://www.weforum.org/organizations/bill-melinda-gates-foundation,strategic partnership
BlackRock,USA,http://www.blackrock.com/,BlackRock is a global leader in investment management  risk management and advisory services for institutional and retail clients. BlackRock helps clients around the world meet their goals and overcome challenges with a range of products that include separate accounts  mutual funds  iShares (exchange-traded funds)  and other pooled investment vehicles. BlackRock also offers risk management  advisory and enterprise investment system services to a broad base of institutional investors through BlackRock Solutions.,https://www.weforum.org/organizations/blackrock-inc,strategic partnership
Boston Consulting Group (BCG),USA,http://www.bcg.com/,BCG (Boston Consulting Group) partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. A pioneer in business strategy  BCG helps clients with total transformation – inspiring complex change  enabling organizations to grow  building competitive advantage and driving bottom-line impact. Its diverse  global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design  corporate and digital ventures – and business purpose. It works in a uniquely collaborative model  generating results that allow its clients to thrive.,https://www.weforum.org/organizations/the-boston-consulting-group,strategic partnership
BP,United Kingdom,http://www.bp.com/,bp is a global energy company with operations in Europe  North and South America  Australasia  Asia and Africa and employs 66 000 people worldwide. Its purpose is reimagining energy for people and planet – bp wants to help the world reach net-zero emissions and improve people’s lives. Its ambition is to become a net-zero company by 2050 or sooner  spanning its operations  production and sales. After operating for more than a century defined by two core commodities – oil and gas – bp is pivoting from being an international oil company producing resources to an integrated energy company delivering solutions for customers.,https://www.weforum.org/organizations/bp-plc,strategic partnership
Bridgewater Associates,USA,http://www.bridgewater.com/,Bridgewater Associates is a global leader in institutional portfolio management  with approximately $154 billion in assets under management (as of December 2020)  including $75 billion in its Pure Alpha strategies; $59 billion in its All Weather strategy; and $15 billion in its Optimal Portfolio strategy. Bridgewater began investment operations in 1975 and is a pioneer in risk budgeting and the separation of alpha and beta for a wide array of institutional clients globally  including pension funds  foreign governments and central banks  university endowments and charitable foundations.,https://www.weforum.org/organizations/bridgewater-associates-lp,strategic partnership
Capgemini,France,http://www.capgemini.com/,Capgemini is a global leader in consulting  digital transformation  technology and engineering services. The group is at the forefront of innovation to address client opportunities in the cloud and on digital and other platforms. Building on its 50-year heritage and industry-specific expertise  Capgemini enables organizations to realize their business ambitions through services ranging from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today  it is a multicultural company bringing together 270 000 team members in almost 50 countries. With Altran  the group reported 2019 combined revenues of €17 billion.,https://www.weforum.org/organizations/capgemini,strategic partnership
Chevron,USA,http://www.chevron.com/,Chevron is one of the worlds leading integrated energy companies. Through its subsidiaries that conduct business worldwide  the company is involved in virtually every facet of the energy industry. Chevron explores for  produces and transports crude oil and natural gas; refines  markets and distributes transportation fuels and lubricants; manufactures and sells petrochemicals and additives; generates power and produces geothermal energy; and develops and deploys technologies that enhance business value in every aspect of the companys operations.,https://www.weforum.org/organizations/chevron-corporation,strategic partnership
Cisco,USA,http://www.cisco.com/,Cisco (NASDAQ: CSCO) is a worldwide technology leader that has been making the internet work since 1984. Its people  products and partners help society securely connect and seize tomorrows digital opportunity today.,https://www.weforum.org/organizations/cisco,strategic partnership
Citi,USA,http://www.citigroup.com/,Citi  a leading global bank  has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers  corporations  governments and institutions with a broad range of financial products and services  including consumer banking and credit  corporate and investment banking  securities brokerage  transaction services and wealth management.,https://www.weforum.org/organizations/citi,strategic partnership
Cognizant,USA,http://www.cognizant.com/,Cognizant (Nasdaq-100: CTSH) engineers modern businesses to improve everyday life. As one of the world’s leading professional services companies  it helps clients modernize technology  reimagine processes and transform experiences so they can stay ahead in todays fast-changing world. With headquarters in the US and a footprint that extends from India and China to Europe  North America  South America and the Middle East  Cognizant is committed to building digital talent worldwide so everyone can benefit from the full spectrum of human ingenuity.,https://www.weforum.org/organizations/cognizant-technology-solutions,strategic partnership
Dell Technologies,USA,https://www.dell.com/en-us/dt/corporate/about-us/who-we-are.htm,Dell Technologies helps organizations and individuals build their digital future and transform how they work  live and play. The company provides customers with one of the industry’s broadest and most innovative technology and services portfolios for the data era.,https://www.weforum.org/organizations/dell-inc,strategic partnership
Deloitte,USA,https://www.deloitte.com/global/en.html,Deloitte provides industry-leading audit and assurance  tax and legal  consulting  financial advisory  and risk advisory services to nearly 90% of the Fortune Global 500 and thousands of private companies. Its professionals deliver measurable and lasting results that help reinforce public trust in capital markets  enable clients to transform and thrive and lead the way toward a stronger economy  a more equitable society and a sustainable world. Building on its 175-plus year history  Deloitte spans more than 150 countries and territories. Deloitte’s approximately 415 000 people worldwide make an impact that matters.,https://www.weforum.org/organizations/deloitte,strategic partnership
dentsu,Japan,http://www.group.dentsu.com/,dentsu is a network designed for what’s next  helping clients predict and plan for disruptive future opportunities in the sustainable economy. Taking a people-centred approach to business transformation  dentsu combines Japanese innovation with a diverse  global perspective to drive client growth and to shape society.,https://www.weforum.org/organizations/dentsu-inc,strategic partnership
Deutsche Bank,Germany,http://www.db.com/,Deutsche Bank provides retail and private banking  corporate and transaction banking  lending  asset and wealth management products and services  and focused investment banking to private individuals  small and medium-sized companies  corporations  governments and institutional investors. Deutsche Bank is a leading bank in Germany  with strong European roots and a global network. Its purpose is to enable economic growth and societal progress through its positive impact to help create better  more successful companies. It believes this is a way for people to take care of the future  for themselves  for their families and for society.,https://www.weforum.org/organizations/deutsche-bank-ag,strategic partnership
DHL Group,Germany,http://www.deutschepost.de/,Deutsche Post DHL Group is a leading logistics company. The group focuses on growth in its core logistics businesses and accelerating the digital transformation in all business divisions. It aims to achieve zero-emissions logistics by 2050. Deutsche Post DHL Group is home to two brands: DHL offers parcel and international express service  freight transport  and supply chain management services  as well as e-commerce logistics solutions. Deutsche Post is a leading postal and parcel service provider in Europe. Deutsche Post DHL Group employs 590 000 people in 220 countries and territories worldwide. It generated revenues of €81 billion in 2021.,https://www.weforum.org/organizations/deutsche-post-dhl-group,strategic partnership
DP World,United Arab Emirates,http://www.dpworld.com/,DP World is a leading provider of smart logistics solutions  enabling the flow of trade across the globe. It is a global network of more than 300 business units in 76 countries across 6 continents. Its services include marine services  inland terminals  industrial parks and technology-driven customer solutions. Wherever the business operates  DP World integrates sustainability and responsible corporate citizenship  striving for a positive contribution to economies and communities. It does this by building and growing long-lasting relationships – with governments  shippers  traders and other stakeholders along the global supply chain.,https://www.weforum.org/organizations/dp-world,strategic partnership
dsm-firmenich,Netherlands,http://www.dsm-firmenich.com/,As innovators in nutrition  health  and beauty  dsm-firmenich reinvents  manufactures  and combines nutrients  flavours and fragrances for the world’s growing population to thrive. With its comprehensive range of solutions  with natural and renewable ingredients and science and technology capabilities  it works to create what is essential for life  desirable for consumers  and more sustainable for the planet. dsm-firmenich is a Swiss-Dutch company  listed on the Euronext Amsterdam  with operations in almost 60 countries and revenues of €12 billion. With a diverse  worldwide team of 30 000 employees  it brings progress to life every day  everywhere  for billions of people.,https://www.weforum.org/organizations/royal-dsm-nv,strategic partnership
Ericsson,Sweden,http://www.ericsson.com/,Ericsson enables communications service providers to capture the full value of connectivity. Its portfolio spans networks  digital services  managed services and emerging business and is designed to help customers go digital  increase efficiency and find new revenue streams. Ericsson’s investments in innovation have delivered the benefits of telephony and mobile broadband to billions of people worldwide. It is committed to driving climate action within the company  industry and for society at large by developing  providing and designing technology  products and solutions that increase energy efficiency and reduce carbon dioxide emissions. Ericsson stock is listed on Nasdaq Stockholm and Nasdaq New York.,https://www.weforum.org/organizations/telefonaktiebolaget-lm-ericsson,strategic partnership
EY,United Kingdom,http://ey.com/global,EY exists to build a better working world  helping create long-term value for clients  people and society  and build trust in the capital markets. Enabled by data and technology  diverse EY teams in over 150 countries provide trust through assurance and help clients grow  transform and operate. Working across assurance  consulting  law  strategy  tax and transactions  EY teams ask better questions to find new answers for the complex issues facing the world today.,https://www.weforum.org/organizations/ey,strategic partnership
Goldman Sachs,USA,http://www.goldmansachs.com/,Goldman Sachs is a leading global investment banking and securities firm that provides a full range of investing  advisory and financing services worldwide to a substantial and diversified client base  which includes corporations  financial institutions  governments and high-net-worth individuals. Founded in 1869  it is one of the oldest and largest investment banking firms. It is headquartered in New York and maintains offices in London  Frankfurt  Tokyo  Hong Kong and other major financial centres around the world.,https://www.weforum.org/organizations/the-goldman-sachs-group-inc,strategic partnership
Google,USA,http://www.google.com/,Larry Page and Sergey Brin founded Google in September 1998. Since then  the company has grown to more than 70 000 employees worldwide  with a wide range of popular products and platforms like Search  Maps  Ads  Gmail  Android  Chrome and YouTube. In October 2015  Alphabet became the parent holding company of Google.,https://www.weforum.org/organizations/google,strategic partnership
Hanwha Group,Republic of Korea,https://www.hanwha.com/en,Hanwha  a Fortune Global 500 company and a world leader in solar energy  is rapidly evolving into a total energy solutions provider with notable advancements in fields like green hydrogen energy. Hanwha is known for its expertise in aerospace and research in future mobility. The company is also a major player in the Asian finance industry  with a comprehensive catalogue of services that includes insurance  securities and asset management  and a pioneer in digital finance. Driven to deliver “sustainable solutions for Earth  for life”  Hanwha strives to use technology to create positive change around the world.,https://www.weforum.org/organizations/hanwha-corporation,strategic partnership
HCLTech,India,https://www.hcltech.com/,HCLTech  a global technology company  is home to 219 000 people in 54 countries delivering industry-leading capabilities centred on digital  engineering and cloud  powered by a broad portfolio of technology services and products. It works with clients across all major verticals  providing industry solutions for financial services  manufacturing  life sciences and healthcare  technology and services  telecommunications and media  retail and consumer packaged goods  and public services. Consolidated revenues as of 12 months ending September 2022 totaled $12.1 billion.,https://www.weforum.org/organizations/hcl-technologies-ltd,strategic partnership
Hewlett Packard Enterprise,USA,http://www.hpe.com/,Hewlett Packard Enterprise (HPE) is a global edge-to-cloud company helping organizations accelerate outcomes by unlocking value from all of their data  everywhere. Built on decades of reimagining the future and innovating to advance the way people live and work  HPE delivers unique  open and intelligent technology solutions as a service. With offerings spanning cloud services  compute  high-performance computing and artificial intelligence  intelligent edge  software and storage  HPE provides a consistent experience across all clouds and edges  helping customers develop new business models  engage in new ways  and increase operational performance.,https://www.weforum.org/organizations/hewlett-packard-enterprise,strategic partnership
Hitachi,Japan,http://www.hitachi.com/,Since its founding in 1910  Hitachi has responded to the expectations of society and its customers through technology and innovation. Its mission is to contribute to society through the development of superior  original technology and products. It works to apply its expertise in information technology  operational technology and a variety of products to advance social infrastructure systems and improve quality of life worldwide. Hitachi’s Social Innovation Business centres on digital systems and services; green energy and mobility; and connective industries. It has 300 000 employees globally who are working to improve people’s quality of life and create a sustainable future.,https://www.weforum.org/organizations/hitachi-ltd,strategic partnership
Honeywell,USA,http://www.honeywell.com/,Honeywell International is a publicly traded  multinational conglomerate headquartered in Charlotte  North Carolina  United States  composed of four business groups: Aerospace  Building Technologies  Performance Materials & Technologies (PMT)  and Safety & Productivity Solutions (SPS). The company produces aerospace systems  industrial products and engineering services. Honeywell is a Fortune 100 company. In 2019  Honeywell launched Honeywell Forge  an industrial internet of things analytics platform  and established Honeywell Robotics to focus on warehouse automation  working in collaboration with Carnegie Mellon University. In March 2020  it announced that it was on the verge of making the largest quantum computer ever built.,https://www.weforum.org/organizations/honeywell,strategic partnership
Hong Kong Exchanges and Clearing (HKEX),Hong Kong SAR China,http://www.hkexgroup.com/,Hong Kong Exchanges and Clearing (HKEX) is a major exchange group and operates a range of equity  commodity  fixed income and currency markets. HKEX is a leading IPO market. It is Hong Kong’s only securities and derivatives exchange and sole operator of its clearing houses  offering regional and international investors access to Asia’s markets. HKEX is also a leader in metals trading through its wholly owned subsidiaries  the London Metal Exchange (LME)  LME Clear and Qianhai Mercantile Exchange (QME) in China. HKEX launched the Shanghai-Hong Kong Stock Connect programme in 2014  Shenzhen Connect in 2016 and Bond Connect in 2017.,https://www.weforum.org/organizations/hong-kong-exchanges-and-clearing-hkex,strategic partnership
HP,USA,http://www.hp.com/,HP creates technology that makes life better for everyone  everywhere. Through its portfolio of printers  PCs  mobile devices  solutions and services  HP engineers experiences that amaze.,https://www.weforum.org/organizations/hp-inc,strategic partnership
HSBC,United Kingdom,http://www.hsbc.com/,HSBC is one of the world’s largest banking and financial services organizations. Its global businesses serve 40 million customers worldwide through a network that covers 64 countries and territories. Its customers include individual savers and investors  some of the world’s biggest companies  governments and international organizations. It aims to connect them to opportunities and help them achieve their ambitions. The products and services HSBC offers vary widely according to customer needs.,https://www.weforum.org/organizations/hsbc-holdings-plc,strategic partnership
Huawei Technologies,People's Republic of China,http://www.huawei.com/,Huawei is a leading global information and communications technology (ICT) solution provider. Through its dedication to customer-centric innovation and strong partnerships  it has established end-to-end capabilities and strengths in the carrier networks  enterprise  consumer and cloud computing fields. It is committed to creating maximum value for telecom carriers  enterprises and consumers by providing competitive ICT solutions and services. It has deployed its products and solutions in over 170 countries  serving more than one-third of the worlds population.,https://www.weforum.org/organizations/huawei-technologies-co-ltd,strategic partnership
Hubert Burda Media,Germany,http://www.burda.com/,With 10 500 employees and 500 brands worldwide  Hubert Burda Media is one of Germany’s largest technology and media companies. It creates media with people  for people  uses its social relevance to make a difference  and offers employees the freedom to be creative and inventive. Burda has media and digital brands in the news  tech  food  living  gardening  fashion  lifestyle  health and entertainment segments. The company is active in 14 markets  primarily in Great Britain  Continental Europe and Asia. A family enterprise with a history spanning over 100 years  Burda combines traditional publishing with digital innovation and invests in digital business models.,https://www.weforum.org/organizations/burda-media,strategic partnership
IBM,USA,http://www.ibm.com/,IBM is a global technology and innovation company headquartered in Armonk  New York. It is one of the largest technology and consulting employers in the world  with more than 250 000 employees serving clients in 170 countries. IBM lives at the intersection of technology and business  providing artificial intelligence and hybrid-cloud solutions that are changing the way the world works.,https://www.weforum.org/organizations/ibm-corporation,strategic partnership
Infosys,India,http://www.infosys.com/,Infosys is a global leader in next-generation digital services and consulting  enabling clients in 46 countries to navigate their digital transformation. With three decades of experience in managing the systems and workings of global enterprises  it steers clients through their digital journey by enabling them with an artificial intelligence-powered core that helps prioritize the execution of change. It also empowers businesses with agile digital at scale to deliver performance and customer delight. Its always-on learning agenda drives their continuous improvement by building and transferring digital skills  expertise and ideas from its innovation ecosystem.,https://www.weforum.org/organizations/infosys-ltd,strategic partnership
Intel,USA,http://www.intel.com/,Intel is a multinational corporation and technology company headquartered in Santa Clara  California  in Silicon Valley. Intel is one of the worlds largest semiconductor chip makers  based on revenue. Its products include microprocessors  chipsets  motherboards  and wireless and wired connectivity products  as well as platforms that incorporate software to enable and advance these components. The company has a customer base in more than 120 countries and 100 000 employees in more than 50 countries. Intel is moving from being a PC-centric company to a data-centric company.,https://www.weforum.org/organizations/intel-corporation,strategic partnership
Itaú Unibanco,Brazil,http://www.itau.com.br/,Founded in 1924  Itaú Unibanco is one of the largest privately owned banks in Latin America. It provides a broad range of banking products and services through its segments: commercial banking (individuals and small companies); wholesale banking (corporate and middle-market companies  including investment banking); and consumer credit (non-current account holders). It is present in 19 countries  with a focus on Brazil and Latin America. It is listed on the BM&FBovespa  New York and BCBA stock exchanges.,https://www.weforum.org/organizations/itau-unibanco-sa,strategic partnership
JLL,USA,http://www.jll.com/,JLL is a leading global professional services and investment management firm dedicated to helping clients create value through owning  occupying  developing and investing in real estate. It is a Fortune 500 company  listed on the New York Stock Exchange (NYSE: JLL)  generating annual revenue for 2018 of $16.3 billion. With nearly 100 000 colleagues based in 80 countries around the world  it partners with clients to achieve their ambitions and advance the sustainability of cities and the built environment. Working closely with clients and communities  its purpose is to shape the future of real estate for a better world.,https://www.weforum.org/organizations/jll,strategic partnership
Johnson & Johnson,USA,http://www.jnj.com/,Johnson & Johnson believes good health is the foundation of vibrant lives  thriving communities and forward progress. For more than 130 years  Johnson & Johnson has aimed to keep people well at every age and every stage of life. As one of the world’s largest and most broadly-based healthcare companies  it is committed to using its reach and size for good. Johnson & Johnson strives to improve access and affordability  create healthier communities  and put a healthy mind  body and environment within reach of everyone  everywhere. It blends heart  science and ingenuity to change humanity’s health trajectory.,https://www.weforum.org/organizations/johnson-johnson,strategic partnership
JPMorgan Chase & Co.,USA,http://www.jpmorganchase.com/,JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.7 trillion and operations worldwide. The firm is a leader in investment banking  financial services for consumers and small businesses  commercial banking  financial transaction processing  and asset management. A component of the Dow Jones Industrial Average  JPMorgan Chase & Co. serves millions of customers in the United States and many of the worlds most prominent corporate  institutional and government clients under its J.P. Morgan and Chase brands.,https://www.weforum.org/organizations/jpmorgan-chase-co,strategic partnership
Kearney,USA,http://www.atkearney.com/,As a global consulting partnership in more than 40 countries  Kearney’s people make the company what it is. It is made up of individuals who take as much joy from those they work with as the work itself. Driven to be the difference between a big idea and making it happen  Kearney helps its clients break through.,https://www.weforum.org/organizations/kearney-inc,strategic partnership
KPMG,Netherlands,http://www.kpmg.com/,KPMG is a global organization of independent professional services firms providing audit  tax and advisory services. It operates in 146 countries and territories and in financial year 2020 had close to 227 000 people working in member firms around the world. Each KPMG firm is a legally distinct and separate entity and describes itself as such. KPMG International is a private English company limited by guarantee. KPMG International and its related entities do not provide services to clients.,https://www.weforum.org/organizations/kpmg-international-cooperative,strategic partnership
Kudelski Group,Switzerland,http://www.kudelski.com/,The Kudelski Group is a world leader in digital security and a provider of convergent media solutions  including services and applications requiring access control and rights management to secure the revenue in digital television  internet  mobile and interactive applications. The group offers cybersecurity solutions to enterprises  financial institutions  government administrations and the media industry  as well as services and technology to companies across all industries to secure their internet of things innovations. It also supplies integrated solutions to manage access control of people and vehicles to sites and events. The group is headquartered in Cheseaux-sur-Lausanne  Switzerland and Phoenix  Arizona  USA.,https://www.weforum.org/organizations/kudelski-group,strategic partnership
Lazard,USA,http://www.lazard.com/,Lazard  one of the worlds preeminent financial advisory and asset management firms  operates from 41 cities in 26 countries in North America  Europe  Asia  Australia and Central and South America. With origins dating to 1848  the firm provides advice on mergers and acquisitions  strategic matters  restructuring and capital structure  capital raising and corporate finance  as well as asset management services to corporations  partnerships  institutions  governments and individuals.,https://www.weforum.org/organizations/lazard,strategic partnership
Luksic Group,Chile,http://www.quinenco.cl/,The Luksic Group is a business conglomerate in Chile. Founded in the early 1950s in Antofagasta  its original activities were related to the copper mining industry. Since then  the group has expanded into the mining  financial  beverage and food  manufacturing  energy  transport  port and shipping services  railway and tourism industries. It is active in Chile  Argentina  Colombia and Brazil. In 1996  the group reorganized its ownership structure so that all the financial and industrial investments were placed under control of Quiñenco  while the mining and railway investments were to be controlled by Antofagasta  simplifying control within the Luksic Group.,https://www.weforum.org/organizations/quinenco-sa,strategic partnership
